time_from_start,x,y,heading_degrees,longitudinal_velocity_mps,acceleration_mps2
0.0,0.0,0.0,0.0,3.0,0.0
0.6507936507936507,1.0,0.0,0.0,3.15,0.23048780487804868
0.9538239538239537,2.0,0.0,0.0,3.3,0.15726172465960658
1.2436790262877218,3.0,0.0,0.0,3.4499999999999997,0.12060989759370423
1.5214568040654997,4.0,0.0,0.0,3.5999999999999996,0.0985897197995917
1.7881234707321663,5.0,0.0,0.0,3.7499999999999996,0.0838868246265907
2.0445337271424227,6.0,0.0,0.0,3.8999999999999995,0.07336636124347529
2.2914473073893364,7.0,0.0,0.0,4.05,0.0654608113903769
2.5295425454845746,8.0,0.0,0.0,4.2,0.059299259570771694
2.759427602955839,9.0,0.0,0.0,4.3500000000000005,0.05435909963331656
2.9816498251780614,10.0,0.0,0.0,4.500000000000001,0.05030771847631118
3.1967035886189215,11.0,0.0,0.0,4.650000000000001,0.046923337069485746
3.405036921952255,12.0,0.0,0.0,4.800000000000002,0.044052385756216374
3.607057123972457,13.0,0.0,0.0,4.950000000000002,0.04158514679545888
3.8031355553450057,14.0,0.0,0.0,5.100000000000002,0.039441139506370536
3.993611745821196,15.0,0.0,0.0,5.250000000000003,0.0375599856838753
4.178796931006381,16.0,0.0,0.0,5.400000000000003,0.03589549874678304
4.358977111186561,17.0,0.0,0.0,5.550000000000003,0.03441174297865692
4.5344157076777885,18.0,0.0,0.0,5.700000000000004,0.03308033706437999
4.70535587861796,19.0,0.0,0.0,5.850000000000004,0.03187856643992203
4.872022545284627,19.9999999838,-0.00017999999902800002,-0.00018,6.000000000000004,0.030788034867609025
5.034624171300886,20.999999838,-0.0007199999727840004,-0.00054,6.150000000000005,0.02979368367852613
5.193354330031045,21.99999925480006,-0.0017999997628320129,-0.00108,6.300000000000005,0.028883066794154918
5.348393089720968,22.999997634800497,-0.0035999987908321702,-0.0018,6.4500000000000055,0.028045806933728205
5.4999082412361195,23.99999398980271,-0.006299995510333366,-0.0027,6.600000000000006,0.027273182282453397
5.6480563893842675,24.999986845611218,-0.010079986508647797,-0.0037800000000000004,6.750000000000006,0.026557808502395787
5.792983925616151,25.999974144838102,-0.015119965171330896,-0.00504,6.900000000000007,0.025893391372399866
5.934827897247357,26.99995314971157,-0.02159991982179411,-0.0064800000000000005,7.050000000000007,0.025274532403807722
6.073716786136245,27.99992034489093,-0.029699831248584677,-0.008100000000000001,7.200000000000007,0.024696574648061895
6.209771207904953,28.99987134029118,-0.03959966953287716,-0.0099,7.350000000000008,0.02415547932088906
6.343104541238286,29.99980077392113,-0.05147939008873713,-0.011880000000000002,7.500000000000008,0.023647726286837725
6.473823495486651,30.999702214740157,-0.06551892882873937,-0.014040000000000002,7.650000000000008,0.02317023318670577
6.602028623691779,31.9995680655396,-0.08189819636755358,-0.016380000000000002,7.800000000000009,0.02272028925498994
